clf_name,drive,f_beta_score,time
DecisionTreeClassifier,ST4000DX000.csv,0.5474576559128824,1.2509863376617432
LinearSVC,ST4000DX000.csv,0.0,30.692145586013797
SGDClassifier,ST4000DX000.csv,0.4998810939357908,1.7099776268005369
NearestCentroid,ST4000DX000.csv,0.3371983358050225,0.3534994125366211
GaussianNB,ST4000DX000.csv,0.0,0.3794963359832764
AdaBoostClassifier,ST4000DX000.csv,0.4999235668789809,23.89922142028809
RandomForestClassifier,ST4000DX000.csv,0.5999320582939838,5.5659356117248535
MLPClassifier,ST4000DX000.csv,0.0,17.786794185638424
FakeAlgorithm,ST31500341AS.csv,0.4789817024183156,0.07249951362609862
DecisionTreeClassifier,ST31500341AS.csv,0.4996879993912183,3.3879599571228027
LinearSVC,ST31500341AS.csv,0.0,42.19699835777283
SGDClassifier,ST31500341AS.csv,0.4998098020419653,2.8104627132415767
NearestCentroid,ST31500341AS.csv,0.3398704894596508,0.4114964008331299
GaussianNB,ST31500341AS.csv,0.0,0.4159965515136719
AdaBoostClassifier,ST31500341AS.csv,0.5382789456435226,32.47911691665649
RandomForestClassifier,ST31500341AS.csv,0.4998250232034448,10.375877141952516
MLPClassifier,ST31500341AS.csv,0.0,17.025299787521362
FakeAlgorithm,ST10000NM0086.csv,0.4785579146520916,0.03599739074707031
DecisionTreeClassifier,ST10000NM0086.csv,0.0,1.048985719680786
